CSFII 1994-96 Food Code	Food Description in 1994-96 CSFII	GI Value	Value used in DHQ database
11000000	"Milk, human"		
11100000	"Milk, NFS"	29.5	X
11111000	"Milk, cow's, fluid, whole"	27	X
11111100	"Milk, cow's, fluid, whole, low-sodium"		
11111150	"Milk, calcium fortified, cow's, fluid, whole"		
11111160	"Milk, calcium fortified, cow's, fluid, 1% fat"	32	X
11111170	"Milk, calcium fortified, cow's, fluid, skim or nonfat"	32	X
11112000	"Milk, cow's, fluid, other than whole, NS as to 2%, 1%, or skim (formerly milk, cow's, fluid, ""lowfat"", NS as to percent fat)"	32	X
11112110	"Milk, cow's, fluid, 2% fat"	29.5	X
11112120	"Milk, cow's, fluid, acidophilus, 1% fat"	32	X
11112130	"Milk, cow's, fluid, acidophilus, 2% fat"	29.5	
11112210	"Milk, cow's, fluid, 1% fat"	32	X
11113000	"Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat"	32	X
11114000	"Milk, cow's, fluid, filled with vegetable oil, NS as to percent fat"		
11114100	"Milk, cow's, fluid, filled with vegetable oil, whole"		
11114200	"Milk, cow's, fluid, filled with vegetable oil, lowfat"		
11114300	"Milk, cow's, fluid, lactose reduced, 1% fat"	32	X
11114310	"Milk, cow's, fluid, lactose reduced, 1% fat, fortified with calcium"	32	
11114320	"Milk, cow's, fluid, lactose reduced, nonfat"	32	X
11114321	"Milk, cow's, fluid, lactose reduced, nonfat, fortified with calcium"	32	
11114330	"Milk, cow's, fluid, lactose reduced, 2% fat"	29.5	X
11115000	"Buttermilk, fluid, nonfat"	32	X
11115200	"Buttermilk, fluid, 2% fat"	29.5	X
11116000	"Milk, goat's, fluid, whole"	27	X
11120000	"Milk, dry, reconstituted, NFS"	32	X
11121100	"Milk, dry, reconstituted, whole"	27	X
11121210	"Milk, dry, reconstituted, lowfat"	32	X
11121300	"Milk, dry, reconstituted, nonfat"	32	X
11122000	"Buttermilk, dry, reconstituted"		
11210000	"Milk, evaporated, NS as to fat content and dilution"	27	X
11210050	"Milk, evaporated, NS as to fat content and dilution, used in coffee or tea (assume undiluted)"	27	X
11210100	"Milk, evaporated, NS as to fat content, undiluted"	27	X
11210200	"Milk, evaporated, NS as to fat content, diluted"		
11211000	"Milk, evaporated, whole, NS as to dilution"	27	
11211050	"Milk, evaporated, whole, NS as to dilution, used in coffee or tea"	27	
11211100	"Milk, evaporated, whole, undiluted"	27	X
11211200	"Milk, evaporated, whole, diluted"	27	
11211400	"Milk, evaporated, 2% fat, NS as to dilution"	27	
11211500	"Milk, evaporated, 2% fat, undiluted"	27	
11211600	"Milk, evaporated, 2% fat, diluted"		
11212000	"Milk, evaporated, skim, NS as to dilution"		
11212050	"Milk, evaporated, skim, NS as to dilution, used in coffee or tea"	32	
11212100	"Milk, evaporated, skim, undiluted"	32	
11212200	"Milk, evaporated, skim, diluted"		
11213000	"Milk, evaporated, filled with vegetable oil, NS as to dilution"		
11213050	"Milk, evaporated, filled with vegetable oil, NS as to dilution, used in coffee or tea"		
11213100	"Milk, evaporated, filled with vegetable oil, undiluted"		
11213200	"Milk, evaporated, filled with vegetable oil, diluted"		
11220000	"Milk, condensed, sweetened, NS as to dilution"	61	X
11220100	"Milk, condensed, sweetened, undiluted"	61	X
11220200	"Milk, condensed, sweetened, diluted"	61	
11310000	"Milk, imitation, fluid, soy based"	40	
11320000	"Milk, soy, ready-to-drink, not baby's"	40	X
11330000	"Milk, soy, dry, reconstituted, not baby's"	40	X
11340000	"Milk, imitation, fluid, non-soy, sweetened, flavors other than chocolate"		
11340100	"Milk, imitation, fluid, non-soy, sweetened, chocolate flavor"		
11410000	"Yogurt, NS as to type of milk or flavor"	33	X
11411010	"Yogurt, plain, NS as to type of milk"	31.5	X
11411100	"Yogurt, plain, whole milk"	36	X
11411200	"Yogurt, plain, lowfat milk"	36	X
11411300	"Yogurt, plain, nonfat milk"	36	X
11420000	"Yogurt, vanilla, lemon, or coffee flavor, NS as to type of milk"	27	X
11421000	"Yogurt, vanilla, lemon, or coffee flavor, whole milk"	27	X
11422000	"Yogurt, vanilla, lemon, maple, or coffee flavor, lowfat milk"	27	X
11423000	"Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk"	32	X
11424000	"Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk, sweetened with low calorie sweetener"	19	X
11425000	"Yogurt, chocolate, NS as to type of milk"	33	X
11426000	"Yogurt, chocolate, whole milk"		
11427000	"Yogurt, chocolate, nonfat milk"	32	X
11430000	"Yogurt, fruit variety, NS as to type  of milk"	33	X
11431000	"Yogurt, fruit variety, whole milk"	33	X
11432000	"Yogurt, fruit variety, lowfat milk"	31	X
11433000	"Yogurt, fruit variety, nonfat milk"	32	X
11433500	"Yogurt, fruit variety, nonfat milk, sweetened with low-calorie sweetener"	19	X
11444000	"Yogurt, fruit and nuts, NS as to type of milk"		
11445000	"Yogurt, fruit and nuts, lowfat milk"		
11459990	"Yogurt, frozen, NS as to flavor, NS as to type of milk"	50	X
11460000	"Yogurt, frozen, flavors other than chocolate, NS as to type of milk"	50	X
11460100	"Yogurt, frozen, chocolate, NS as to type of milk"	50	X
11460150	"Yogurt, frozen, NS as to flavor, lowfat milk"	50	X
11460160	"Yogurt, frozen, chocolate, lowfat milk"	50	X
11460170	"Yogurt, frozen, flavors other than chocolate, lowfat milk"	50	X
11460190	"Yogurt, frozen, NS as to flavor, nonfat milk"	50	X
11460200	"Yogurt, frozen, chocolate, nonfat milk"	50	X
11460250	"Yogurt, frozen, flavors other than chocolate, with sorbet or sorbet-coated"	50	X
11460300	"Yogurt, frozen, flavors other than chocolate, nonfat milk"	50	X
